codigo_municipio,nombre_municipio,nombre_subregion,codigo_subregion,poblacion,hombres,mujeres,altitud,temperatura,humedad_relativa
05142,CARACOLI,MAGDALENA MEDIO,03,4824,2417,2407,624.071778983806,25.104724908597714,74.24695316592849
05425,MACEO,MAGDALENA MEDIO,03,8707,4299,4408,801.1299009303045,24.06432050181467,75.48647751629233
05579,PUERTO BERRIO,MAGDALENA MEDIO,03,42203,21122,21081,302.97780772908084,26.774665507261023,68.16647346837179
05585,PUERTO NARE,MAGDALENA MEDIO,03,15232,7563,7669,308.09948905142244,26.793395955206446,68.31739121654262
05591,PUERTO TRIUNFO,MAGDALENA MEDIO,03,19554,10696,8858,222.03162065284107,27.29969274328865,63.247295822584256
05893,YONDO,MAGDALENA MEDIO,03,20727,10601,10126,100.10000508696933,28.162070612537185,77.43789050319779
05120,CACERES,BAJO CAUCA,02,31160,16275,14885,195.44636856766425,27.318936067984065,79.26022404604724
05154,CAUCASIA,BAJO CAUCA,02,97803,47630,50173,66.54503082845694,28.252375149291286,79.68180158474371
05250,EL BAGRE,BAJO CAUCA,02,56306,27563,28743,319.9531926785464,27.26073963881901,82.58304563714952
05495,NECHI,BAJO CAUCA,02,27901,14426,13475,96.8510386461129,28.129926935147598,81.4763019262229
05790,TARAZA,BAJO CAUCA,02,29082,14354,14728,494.88066807629156,25.22512523760663,81.99819320899611
05895,ZARAGOZA,BAJO CAUCA,02,26207,12959,13248,160.80289460907497,28.05968853148286,79.52942190198416
05045,APARTADO,URABA,09,131422,63795,67627,285.07821611113366,25.433773685808035,86.37245908726256
05051,ARBOLETES,URABA,09,32192,16015,16177,93.5692028013289,26.380416159176338,83.50148289703738
05147,CAREPA,URABA,09,52184,25854,26330,156.37525732669422,26.130814121973422,86.17263473868967
05172,CHIGORODO,URABA,09,62235,29833,32402,159.24625953072936,26.328408280565558,86.43031367105108
05475,MURINDO,URABA,09,5300,2686,2614,201.02571934196385,26.69525186112962,87.75118400410085
05480,MUTATA,URABA,09,15035,7611,7424,530.5297209353977,24.765297803384872,87.87693858933892
05490,NECOCLI,URABA,09,45530,22432,23098,67.02648601931548,26.220963003565984,83.84178131036865
05659,SAN JUAN DE URABA,URABA,09,21707,10667,11040,57.92189998325868,26.44783029149461,84.15667882024452
05665,SAN PEDRO DE URABA,URABA,09,33180,16986,16194,146.2656278774248,26.22074364117582,81.3702647245117
