codigo_municipio,nombre_municipio,nombre_subregion,codigo_subregion,poblacion,hombres,mujeres
5142,CARACOLI,MAGDALENA MEDIO,03,4824,2417,2407
5425,MACEO,MAGDALENA MEDIO,03,8707,4299,4408
5579,PUERTO BERRIO,MAGDALENA MEDIO,03,42203,21122,21081
5585,PUERTO NARE,MAGDALENA MEDIO,03,15232,7563,7669
5591,PUERTO TRIUNFO,MAGDALENA MEDIO,03,19554,10696,8858
5893,YONDO,MAGDALENA MEDIO,03,20727,10601,10126
5120,CACERES,BAJO CAUCA,02,31160,16275,14885
5154,CAUCASIA,BAJO CAUCA,02,97803,47630,50173
5250,EL BAGRE,BAJO CAUCA,02,56306,27563,28743
5495,NECHI,BAJO CAUCA,02,27901,14426,13475
5790,TARAZA,BAJO CAUCA,02,29082,14354,14728
5895,ZARAGOZA,BAJO CAUCA,02,26207,12959,13248
5045,APARTADO,URABA,09,131422,63795,67627
5051,ARBOLETES,URABA,09,32192,16015,16177
5147,CAREPA,URABA,09,52184,25854,26330
5172,CHIGORODO,URABA,09,62235,29833,32402
5475,MURINDO,URABA,09,5300,2686,2614
5480,MUTATA,URABA,09,15035,7611,7424
5490,NECOCLI,URABA,09,45530,22432,23098
5659,SAN JUAN DE URABA,URABA,09,21707,10667,11040
5665,SAN PEDRO DE URABA,URABA,09,33180,16986,16194
5837,TURBO,URABA,09,134517,64397,70120
5873,VIGIA DEL FUERTE,URABA,09,9752,4791,4961
5031,AMALFI,NORDESTE,04,27846,13896,13950
5040,ANORI,NORDESTE,04,19675,10376,9299
5190,CISNEROS,NORDESTE,04,10422,4935,5487
5604,REMEDIOS,NORDESTE,04,30501,15171,15330
5670,SAN ROQUE,NORDESTE,04,22966,11592,11374
5690,SANTO DOMINGO,NORDESTE,04,13075,6800,6275
5736,SEGOVIA,NORDESTE,04,40922,20291,20631
5858,VEGACHI,NORDESTE,04,12556,6219,6337
5885,YALI,NORDESTE,04,8091,4162,3929
5890,YOLOMBO,NORDESTE,04,24023,12203,11820
5004,ABRIAQUI,OCCIDENTE,06,2855,1549,1306
5044,ANZA,OCCIDENTE,06,7483,3876,3607
5059,ARMENIA,OCCIDENTE,06,5404,2687,2717
5113,BURITICA,OCCIDENTE,06,10017,5217,4800
5125,CAICEDO,OCCIDENTE,06,8870,4404,4466
5138,CANASGORDAS,OCCIDENTE,06,16371,8220,8151
5234,DABEIBA,OCCIDENTE,06,24586,12434,12152
5240,EBEJICO,OCCIDENTE,06,12820,6502,6318
5284,FRONTINO,OCCIDENTE,06,21905,10901,11004
5306,GIRALDO,OCCIDENTE,06,5963,3061,2902
5347,HELICONIA,OCCIDENTE,06,5716,2983,2733
5411,LIBORINA,OCCIDENTE,06,10649,5429,5220
5501,OLAYA,OCCIDENTE,06,3327,1662,1665
5543,PEQUE,OCCIDENTE,06,8644,4549,4095
5628,SABANALARGA,OCCIDENTE,06,9668,5066,4602
5656,SAN JERONIMO,OCCIDENTE,06,16499,8077,8422
5042,SANTA FE DE ANTIOQUIA,OCCIDENTE,06,28049,13865,14184
5761,SOPETRAN,OCCIDENTE,06,16089,8027,8062
5842,URAMITA,OCCIDENTE,06,7277,3723,3554
5038,ANGOSTURA,NORTE,05,12121,6135,5986
5086,BELMIRA,NORTE,05,6405,3228,3177
5107,BRICENO,NORTE,05,8523,4454,4069
5134,CAMPAMENTO,NORTE,05,9755,5029,4726
5150,CAROLINA,NORTE,05,4219,2064,2155
5237,DONMATIAS,NORTE,05,20360,9470,10890
5264,ENTRERRIOS,NORTE,05,12062,5996,6066
